frame,occluded,err_bx,err_by,err_py,err_vis,h_norm,belief_update_mag,weight_updates,hit_ratio,total_hits,total_misses,gravity,bounce,ball_speed
9300,0,0.003618,0.075913,0.009854,0.02238,6.574866,0.094156,285,1.0,1,0,0.045011,1.083173,4.8774
9400,0,0.020327,0.014886,0.034187,0.051411,6.171947,0.100268,288,1.0,1,0,0.045011,1.083173,4.8774
9500,0,0.038037,0.047289,0.007531,0.0247,6.445026,0.101035,291,1.0,2,0,0.045011,1.083173,4.8774
9600,0,0.076697,0.049209,0.032522,0.011567,6.493465,0.11253,294,1.0,2,0,0.045011,1.083173,4.8774
9700,0,0.052169,0.085457,0.022507,3.2e-05,6.514501,0.070766,297,1.0,2,0,0.045011,1.083173,4.8774
9800,0,0.020532,0.053691,0.010898,0.017172,6.363748,0.086626,301,1.0,1,0,0.045011,1.083173,4.8774
9900,0,0.021191,0.018035,0.014667,0.027086,6.275949,0.182974,303,1.0,1,0,0.045011,1.083173,4.8774
10000,0,0.01669,0.029423,0.016457,0.017602,6.188844,0.068469,306,1.0,1,0,0.045011,1.083173,4.8774
10100,0,0.018395,0.041074,0.03001,0.05221,6.134698,0.113859,309,1.0,2,0,0.045011,1.083173,4.8774
10200,0,0.006154,0.056639,0.030509,0.030643,6.359612,0.17062,312,1.0,2,0,0.045011,1.083173,4.8774
10300,0,0.36467,0.058834,0.069123,0.056353,6.288374,2.945572,315,0.0,0,0,0.045011,1.083173,4.8774
10400,0,0.102158,0.113073,0.007561,0.022778,6.661504,0.114803,319,0.0,0,0,0.045011,1.083173,4.8774
10500,0,0.009449,0.069228,0.016237,0.03254,6.201932,0.046962,321,0.0,0,0,0.045011,1.083173,4.8774
10600,0,0.024645,0.033474,0.015201,0.046602,5.921009,0.429301,324,0.0,0,0,0.045011,1.083173,4.8774
10700,0,0.016331,0.066577,0.024598,0.021903,6.383325,0.182073,327,0.0,0,0,0.045011,1.083173,4.8774
10800,0,0.012547,0.026232,0.031642,0.025801,6.296043,0.058701,331,0.0,0,0,0.045011,1.083173,4.8774
10900,0,0.007791,0.096189,0.001574,0.018484,5.919434,0.128662,334,1.0,1,0,0.045011,1.083173,4.8774
11000,0,0.042147,0.080562,0.018823,0.0172,6.480196,0.115183,337,1.0,1,0,0.045011,1.083173,4.8774
11100,0,0.103457,0.108415,0.002238,0.00843,6.535028,0.064667,340,1.0,1,0,0.045011,1.083173,4.8774
11200,0,0.116986,0.042009,0.0166,0.042059,6.75271,0.08736,343,0.0,0,0,0.045011,1.083173,4.8774
11300,0,0.009341,0.044094,0.019456,0.015566,6.088013,0.098049,347,0.0,0,0,0.045011,1.083173,4.8774
11400,0,0.029961,0.041106,0.01245,0.011917,5.987848,0.19649,349,1.0,1,0,0.045011,1.083173,4.8774
11500,0,0.02009,0.131573,0.005133,0.006953,6.49603,0.142187,352,1.0,1,0,0.045011,1.083173,4.8774
11600,0,0.043816,0.103623,0.003072,0.003244,6.244628,0.083907,355,1.0,1,0,0.045011,1.083173,4.8774
11700,0,0.030435,0.030836,0.007449,0.016653,6.22753,0.078222,358,0.0,0,0,0.045011,1.083173,4.8774
11800,0,0.023101,0.000174,0.022448,0.029961,6.245471,0.123018,359,1.0,1,0,0.045011,1.083173,4.8774
11900,0,0.034309,0.014638,0.014419,0.005676,6.534788,0.070187,361,1.0,1,0,0.045011,1.083173,4.8774
12000,0,0.00088,0.003129,0.014496,0.011439,6.187942,0.076052,361,1.0,1,0,0.045011,1.083173,4.8774
12100,0,0.000964,0.092249,0.022687,0.029789,6.172273,0.136448,364,1.0,2,0,0.045011,1.083173,4.8774
12200,0,0.056303,0.045236,0.006107,0.006678,6.663113,0.068112,367,1.0,2,0,0.045011,1.083173,4.8774
12300,0,0.092906,0.14343,0.011703,0.006484,6.569148,0.078623,370,1.0,2,0,0.045011,1.083173,4.8774
12400,0,0.097352,0.142109,0.001748,0.005228,6.715663,0.100928,374,0.0,0,0,0.045011,1.083173,4.8774
12500,0,0.003791,0.071548,0.025363,0.030398,6.029402,1.207595,377,0.0,0,0,0.045011,1.083173,4.8774
12600,0,0.020629,0.001877,0.012232,0.029273,6.046183,0.323637,380,0.0,0,0,0.045011,1.083173,4.8774
12700,0,0.019499,0.052615,0.011778,0.024293,6.332252,0.126844,382,0.0,0,0,0.045011,1.083173,4.8774
12800,0,0.023411,0.13111,0.021888,0.020331,6.386229,0.072374,385,0.0,0,0,0.045011,1.083173,4.8774
12900,0,0.053913,0.064546,0.002751,0.002607,6.469123,0.098359,389,0.0,0,0,0.045011,1.083173,4.8774
13000,0,0.024149,0.11872,0.004107,0.020393,6.150683,0.080538,391,0.0,0,0,0.045011,1.083173,4.8774
13100,0,0.016258,0.017631,0.016492,0.049788,6.286139,0.085664,395,0.0,0,0,0.045011,1.083173,4.8774
13200,0,0.025966,0.015057,0.012204,0.044555,6.00762,0.088694,398,0.0,0,0,0.045011,1.083173,4.8774
13300,0,0.010998,0.0647,0.011685,0.021836,5.965682,0.063557,400,1.0,1,0,0.045011,1.083173,4.8774
13400,0,0.005694,0.101513,0.00434,0.004773,6.270042,0.150022,403,1.0,1,0,0.045011,1.083173,4.8774
13500,0,0.000282,0.014642,0.008841,0.018737,6.214344,0.128366,404,1.0,2,0,0.045011,1.083173,4.8774
13600,0,0.055788,0.008151,0.000652,0.006035,6.575275,0.08931,407,1.0,2,0,0.045011,1.083173,4.8774
13700,0,0.019246,0.00088,0.016526,0.023894,5.943151,1.764295,409,0.0,0,0,0.045011,1.083173,4.8774
13800,0,0.028542,0.050277,0.018645,0.033344,6.38906,0.089051,412,0.0,0,0,0.045011,1.083173,4.8774
13900,0,0.018132,0.046135,0.011366,0.018677,6.247349,0.11381,415,0.0,0,0,0.045011,1.083173,4.8774
14000,0,0.00947,0.074488,0.001912,0.001697,6.102753,0.075257,419,0.0,0,0,0.045011,1.083173,4.8774
14100,0,0.00489,0.087272,0.009621,0.024028,5.937632,0.081899,421,1.0,1,0,0.045011,1.083173,4.8774
14200,0,0.047662,0.085576,0.023381,0.050466,6.210382,0.136158,425,1.0,1,0,0.045011,1.083173,4.8774
14300,0,0.043432,0.13511,0.013781,0.018314,6.576981,0.090749,428,1.0,1,0,0.045011,1.083173,4.8774
14400,0,0.022358,0.070514,0.012833,0.024191,6.144483,0.078589,431,1.0,1,0,0.045011,1.083173,4.8774
14500,0,0.003972,0.060531,0.021534,0.031358,6.201752,0.094359,435,1.0,1,0,0.045011,1.083173,4.8774
14600,0,0.007442,0.057678,0.013913,0.030851,5.91573,0.068806,438,1.0,1,0,0.045011,1.083173,4.8774
14700,0,0.008921,0.053406,0.012762,0.030478,5.984659,0.150386,441,1.0,2,0,0.045011,1.083173,4.8774
14800,0,0.003493,0.024918,0.024125,0.032193,6.00284,0.073622,444,1.0,2,0,0.045011,1.083173,4.8774
14900,0,0.011189,0.083437,0.033256,0.061277,5.926984,0.06742,448,0.0,0,0,0.045011,1.083173,4.8774
15000,0,0.009034,0.085516,0.016634,0.033063,6.040021,0.076488,451,0.0,0,0,0.045011,1.083173,4.8774
15100,0,0.005162,0.086543,8.5e-05,0.006038,5.770709,0.088445,454,1.0,1,0,0.045011,1.083173,4.8774
15200,0,0.015027,0.042554,0.016193,0.047343,6.001204,0.102749,458,1.0,1,0,0.045011,1.083173,4.8774
15300,0,0.090556,0.104325,0.00844,0.014285,6.692193,0.088579,461,1.0,1,0,0.045011,1.083173,4.8774
15400,0,0.00306,0.106922,0.005676,0.006619,6.529316,0.089036,464,1.0,1,0,0.045011,1.083173,4.8774
15500,0,0.021325,0.054935,0.018005,0.030302,6.448015,0.076785,468,1.0,1,0,0.045011,1.083173,4.8774
