rally_num,frame,outcome,hit_ratio
472,73482,hit,1.0
473,73614,hit,1.0
474,73724,hit,1.0
475,73816,hit,1.0
476,73894,hit,1.0
477,73962,miss,0.0
478,73962,hit,0.0
479,74032,hit,1.0
480,74293,hit,1.0
481,74507,hit,1.0
482,74685,hit,1.0
483,74832,hit,1.0
484,74955,hit,1.0
485,75058,hit,1.0
486,75145,hit,1.0
487,75218,hit,1.0
488,75280,hit,1.0
489,75334,miss,0.0
490,75334,hit,0.0
491,75408,hit,1.0
492,75682,hit,1.0
493,75907,hit,1.0
494,76093,hit,1.0
495,76248,hit,1.0
496,76377,hit,1.0
497,76485,hit,1.0
498,76578,miss,0.0
499,76578,hit,0.0
500,76648,hit,1.0
501,76907,hit,1.0
502,77121,hit,1.0
503,77297,hit,1.0
504,77444,hit,1.0
505,77567,hit,1.0
506,77670,hit,1.0
507,77756,hit,1.0
508,77829,hit,1.0
509,77891,hit,1.0
510,77945,miss,0.0
511,77945,hit,0.0
512,78031,hit,1.0
513,78350,hit,1.0
514,78609,hit,1.0
515,78823,hit,1.0
516,79005,miss,0.0
517,79005,hit,0.0
518,79252,hit,1.0
519,79519,hit,1.0
520,79738,hit,1.0
521,79919,hit,1.0
522,80075,miss,0.0
523,80075,hit,0.0
524,80296,hit,1.0
525,80535,hit,1.0
526,80732,hit,1.0
527,80896,hit,1.0
528,81032,hit,1.0
529,81147,hit,1.0
530,81243,hit,1.0
531,81324,hit,1.0
532,81392,hit,1.0
533,81450,hit,1.0
534,81500,miss,0.0
535,81500,hit,0.0
536,81571,hit,1.0
537,81832,hit,1.0
538,82047,hit,1.0
539,82225,hit,1.0
540,82373,hit,1.0
541,82497,hit,1.0
542,82601,hit,1.0
543,82688,hit,1.0
544,82761,hit,1.0
545,82823,hit,1.0
546,82875,hit,1.0
547,82921,miss,0.0
548,82921,hit,0.0
549,83013,hit,1.0
550,83351,hit,1.0
551,83635,miss,0.0
552,83635,hit,0.0
553,83922,hit,1.0
554,84230,hit,1.0
555,84490,miss,0.0
556,84490,hit,0.0
557,84576,hit,1.0
558,84893,hit,1.0
559,85152,hit,1.0
560,85364,hit,1.0
561,85546,miss,0.0
562,85546,hit,0.0
563,85616,hit,1.0
564,85877,hit,1.0
565,86091,hit,1.0
566,86269,hit,1.0
567,86416,hit,1.0
568,86539,hit,1.0
569,86642,hit,1.0
570,86729,hit,1.0
571,86802,hit,1.0
572,86864,hit,1.0
573,86916,hit,1.0
574,86960,hit,1.0
575,86999,miss,0.0
576,86999,hit,0.0
577,87215,hit,1.0
578,87450,hit,1.0
579,87643,hit,1.0
580,87804,hit,1.0
581,87938,hit,1.0
582,88050,hit,1.0
583,88144,hit,1.0
584,88223,hit,1.0
585,88290,hit,1.0
586,88347,hit,1.0
587,88395,hit,1.0
588,88437,miss,0.0
589,88437,hit,0.0
590,88666,hit,1.0
591,88914,hit,1.0
592,89118,hit,1.0
593,89286,hit,1.0
594,89426,hit,1.0
595,89543,hit,1.0
596,89645,miss,0.0
597,89645,hit,0.0
598,89895,hit,1.0
599,90164,hit,1.0
600,90385,hit,1.0
601,90568,hit,1.0
602,90719,hit,1.0
603,90850,miss,0.0
604,90850,hit,0.0
605,91118,hit,1.0
606,91453,hit,1.0
607,92052,hit,1.0
